Title,Author,Database
Connecting decentralized learning records: A blockchain based learning analytics platform,"Ocheja, P., Flanagan, B., Ogata, H.",Scopus
Chained anomaly detection models for federated learning: An intrusion detection case study,"Preuveneers, D., Rimmer, V., Tsingenopoulos, I., Spooren, J., Joosen, W., Ilie-Zudor, E.",Scopus
Learning system based on decentralized learning model using blockchain and SNS,"Hori, M., Ono, S., Miyashita, K., Kobayashi, S., Miyahara, H., Kita, T., Yamada, T., Yamaji, K.",Scopus
Connecting Decentralized Learning Records: A Blockchain Based Learning Analytics Platform,"Ocheja, Patrick and Flanagan, Brendan and Ogata, Hiroaki",ACM
Using Conflict Resolution to Inform Decentralized Learning,"Cheng, Shanjun and Raja, Anita and Lesser, Victor R.",ACM
A Two-Armed Bandit Based Scheme for Accelerated Decentralized Learning,"Granmo, Ole-Christoffer and Glimsdal, Sondre",ACM
Poster: A Reliable and Accountable Privacy-Preserving Federated Learning Framework Using the Blockchain,"Awan, Sana and Li, Fengjun and Luo, Bo and Liu, Mei",ACM
Federated Machine Learning: Concept and Applications,"Yang, Qiang and Liu, Yang and Chen, Tianjian and Tong, Yongxin",ACM
Multiagent Learning and Coordination with Clustered Deep Q-Network,"Pageaud, Simon and Deslandres, V\'{e",ACM
Training Encrypted Models with Privacy-Preserved Data on Blockchain,"Liu, Lifeng and Hu, Yifan and Yu, Jiawei and Zhang, Fengda and Huang, Gang and Xiao, Jun and Wu, Chao",ACM
Collaborative Multiagent Learning for Classification Tasks,"Modi, Pragnesh Jay and Shen, Wei-Min",ACM
Emergence of Privacy Conventions in Online Social Networks,"Hasan, Mohammad Rashedul",ACM
DIVa: Decentralized Identity Validation for Social Networks,"Soliman, Amira and Bahri, Leila and Carminati, Barbara and Ferrari, Elena and Girdzijauskas, Sarunas",ACM
Decentralized Dynamics and Fast Convergence in the Assignment Game: Extended Abstract,"Pradelski, Bary S.R.",ACM
Online Layered Learning for Cross-Layer Optimization of Dynamic Multimedia Systems,"Mastronarde, Nicholas and van der Schaar, Mihaela",ACM
Cognitive Policy Learner: Biasing Winning or Losing Strategies,"Dahlem, Dominik and Dowling, Jim and Harrison, William",ACM
3D Deployment of UAV Swarm for Massive MIMO Communications,"Gao, Ning and Jin, Shi and Li, Xiao",ACM
Actor-Based Risk Analysis for Blockchains in Smart Mobility,"Mallah, Ranwa Al and Farooq, Bilal",ACM
OINNIONN: Outward Inward Neural Network and Inward Outward Neural Network Evolution,"Segev, Aviv and Datta, Rituparna and Benton, Ryan and Curtis, Dorothy",ACM
Decentralised Channel Allocation and Information Sharing for Teams of Cooperative Agents,"Stein, Sebastian and Williamson, Simon A. and Jennings, Nicholas R.",ACM
Distance Education and the Open University,"Davies, Gordon",ACM
Likelihood Quantile Networks for Coordinating Multi-Agent Reinforcement Learning,"Lyu, Xueguang and Amato, Christopher",ACM
Secure Sharing of Geospatial Wildlife Data,"Frey, Remo Manuel and Hardjono, Thomas and Smith, Christian and Erhardt, Keeley and Pentland, Alex 'Sandy'",ACM
On Learning in Collective Self-Adaptive Systems: State of Practice and a 3D Framework,"D'Angelo, Mirko and Gerasimou, Simos and Ghahremani, Sona and Grohmann, Johannes and Nunes, Ingrid and Pournaras, Evangelos and Tomforde, Sven",ACM
Self-Adaptive Learning in Decentralized Combinatorial Optimization: A Design Paradigm for Sharing Economies,"Pilgerstorfer, Peter and Pournaras, Evangelos",ACM
Push the Limit of Wireless Network Capacity: A Tale of Cognitive and Coexistence,"Li, Xiang-Yang",ACM
Overlapping Coalition Formation via Probabilistic Topic Modeling,"Mamakos, Michalis and Chalkiadakis, Georgios",ACM
Experiments with a Machine-Centric Approach to Realise Distributed Emergent Software Systems,"Filho, Roberto Rodrigues and Porter, Barry",ACM
MARL-PPS: Multi-Agent Reinforcement Learning with Periodic Parameter Sharing,"Cicek, Safa and Nakhaei, Alireza and Soatto, Stefano and Fujimura, Kikuo",ACM
Supporting Scalable Data Sharing in Online Education,"Cummins, Stephen and Beresford, Alastair R. and Davies, Ian and Rice, Andrew",ACM
Decentralized Attention-Based Personalized Human Mobility Prediction,"Fan, Zipei and Song, Xuan and Jiang, Renhe and Chen, Quanjun and Shibasaki, Ryosuke",ACM
Brokered Agreements in Multi-Party Machine Learning,"Fung, Clement and Beschastnikh, Ivan",ACM
